id,title,description,category,address,lat,lng,startDate,midDate,endDate,imageUrls,current location type
12,Karl Kutschera's Café Wien and Zigeunerkeller: From Popular Haunt to Nazi Target,"Karl Kutschera's Café Wien and Zigeunerkeller, once vibrant fixtures on Berlin's Kurfürstendamm, embodied both the cultural richness of interwar Berlin and the tragic fate of Jewish-owned businesses under Nazi rule. Hungarian-born Kutschera transformed these establishments into popular international meeting spots, only to see them become targets of escalating anti-Semitic attacks. From the violent ""Kurfürstendamm riots"" of 1935 to the slanderous campaign by Der Stürmer in 1936, Kutschera's businesses faced relentless pressure. Despite initial resilience, he was eventually forced to lease to non-Jewish shareholders, with the Zigeunerkeller infamously declaring ""Jews not welcome."" The Kutschera family's subsequent deportation to Theresienstadt in 1943, resulting in the loss of two children in Auschwitz, reflected the broader tragedy of the Holocaust. Yet, in a testament to remarkable resilience, Karl and Josephine Kutschera survived, returned to Berlin post-war, and revived Café Wien. Kutschera's journey from successful entrepreneur to Nazi target, and his post-war resurgence, encapsulates the complex narrative of Jewish business owners in Nazi Germany and the enduring spirit of survival.",Food & beverage ,"Kurfürstendamm 26, 10719 Berlin, Germany",52.5035307,13.3286999,1919,1937,1938,media/img/kutschera/kutschera.png,
13,Private Kunst- und Kunstgewerbeschule Reimann,"Albert and Clara Reimann's Schule Reimann, founded in 1902 in Berlin-Schöneberg, emerged as a leading private art college inspired by the Bauhaus and Werkbund schools. Known for its innovative departments in fashion illustration, costume and textile design, and window design, the college flourished in the 1920s and early 1930s. At its peak, it enrolled 500-750 students, many from abroad, and boasted a profit margin of 30,000 Reich marks.

The college's fortunes changed dramatically after 1933. Despite initial attempts to adapt to Nazi rule, including hosting an exhibition supporting the National Socialist People's Welfare Organization, the Reimanns faced increasing pressure. The Reich Culture Chamber Law of 1933 led to Nazi control of the college, with SA members occupying the grounds and harassing students and tutors.

In 1935, the Reimanns were forced to sell the college to Hugo Häring, a non-Jewish principal. Although former Bauhaus artists continued teaching, the college faced severe criticism from Nazi authorities. The Reich Economic Ministry pushed for closure, citing the college's ""Jewish influence."" Despite Häring's efforts to prove the college's profitability and ""Aryanization,"" financial difficulties mounted.",Arts & culture,"Landshuter Str. 38, 10779 Berlin, Germany",52.4938465,13.3389444,1909,,1938,media/img/pkunst/pkunst.png,
14,Ruilos Knoblauch-Verwertungs-G.m.b.H.,"Founded in 1921 as a publicly traded company specializing in chemical products for medicinal and home hygiene purposes, Ruilos G.m.b.H. became a notable presence in Berlin's industrial landscape under the leadership of Dr. Georg Eppenstein. The company's growth was evident in its move to Goldschmieden and the establishment of a Berlin branch, reflecting its expanding influence in the chemical sector.",,"Achenbachstraße 33, 13585 Berlin, Germany",52.5414151,13.2030226,1921,1933,1934,media/img/ruilos/ruilos.png,
15,Kostümhaus Theaterkunst Hermann J. Kaufmann,"Founded in 1907 by Hermann J. Kaufmann, Theaterkunst became a world-renowned supplier of theatrical décor and costumes. At its peak, it boasted 360 employees across 1,500 square meters of workshops in Berlin. Kaufmann's innovative approach included strong advertising and high-profile commissions, like outfitting the 1926 film ""Ben Hur.""

The Nazi era brought dramatic changes. In 1933, Kaufmann faced pressure to surrender his business. Hermann Staltberg, an NSDAP member and SA leader, founded a rival company positioning itself as the ""first purely Christian company"" in the industry. By 1936, Kaufmann was forced to sell. The Swedish matchstick corporation STAB and businessman Adolph Nau took over, merging Kaufmann's business with Staltberg's under the Theaterkunst name.

Despite this upheaval, the company continued operations, supplying costumes for entertainment, propaganda, and even wartime purposes. Kaufmann, exiled to Brussels, died there in 1942. Today, Theaterkunst GmbH still exists, with its main office in Berlin and branches in other German cities, a complex legacy of both artistic achievement and historical persecution.",Arts & culture,"Schwedter Str. 9, 10119 Berlin, Germany",52.5336372,13.4103444,1907,,1933,media/img/productx/productx.png,
16,Egg Brothers: Eduard und Max Moses Wassermann,"Eduard and Max Wassermann, Jewish grocery traders in Berlin's northern suburb, exemplified different strategies to resist Nazi oppression in the 1930s. Eduard, born in 1883 in Tarnow, Poland, became a poultry trader in Berlin, expanding his business to include imported meat. Max, born in 1895, joined his brother in Berlin in 1912, establishing a successful egg wholesale business.

Despite their economic success and diverse defense strategies - one brother acting as a silent partner while the other managed the business - both ultimately faced the same tragic fate. They were among 534 Jewish men and youths with Polish passports arrested in Berlin and deported to Sachsenhausen concentration camp on September 13, 1939.

The brothers died in Sachsenhausen in 1940, allegedly of appendicitis. In reality, Eduard, who was diabetic, had both legs amputated there. Max, crushed by his brother's death, died less than a month later. Their story illustrates how even the most resourceful attempts to resist Nazi persecution often ended in deportation and murder.",Retail and Commerce,"Brunnenstraße 71, 13355 Berlin, Germany",52.5416613,13.3938031,1912,,1939,media/img/wassermann/wassermann.png,
17,,,,,,,,,,,
18,The Weinberger Butter Brothers: ,"The Gebrüder Weinberger butter business, Berlin's largest, grew from a grocery store established by Helene Weinberger in 1889. Hermann Weinberger married into the business, founding a wholesale grocery with his brothers Adolf, Israel, and Salomon. By the mid-1920s, they became Berlin's main butter suppliers, manufacturing their own butter, lard, and fat. They supplied about 8,000 small dairy goods stores and ran their own chain under the name Otto Thürmann.

Despite initial success weathering economic crises with help from Unilever, the company faced increasing Nazi persecution from 1933. The situation became critical when Unilever withdrew support in August 1935. The Nazi newspaper Der Angriff launched a campaign against the company, triggering boycotts and reducing available supplies.

Under extreme pressure, about two-thirds of the firm's employees left. The German Labor Front offered the company's supply quota to non-Jewish competitors, further strangling the business. By December 1935, the company was reduced to a ""vegetative existence.""

The brothers attempted various strategies to save the business, including partnering with individuals holding Polish nationality. However, these efforts ultimately proved futile against the relentless tide of Nazi persecution targeting Jewish-owned businesses.",Food & beverage,"Brunnenstraße 188-190, 10119 Berlin, Germany",52.5308697,13.3999561,1889,,1941,media/img/butter/butter.png,
19,Atelier Yva - Photographie,"Else Ernestine Neuländer, known professionally as Yva, rose to prominence as a fashion and commercial photographer in 1920s Berlin. Despite increasing oppression of Jews, she maintained her studio until 1938. Yva's innovative work included photo-stories for magazines and collaborations with fashion publications.

In 1934, Yva married Alfred Hermann Simon, who managed the studio's finances. They lived and worked at Schlüterstrasse 45, employing several staff including Elizabeth Röttgers, who became Yva's close friend. Yva was known for her professionalism and charm, training notable photographers like Helmut Newton.

As persecution intensified, Yva's non-Jewish clients and employees distanced themselves. In late 1938, Charlotte Weidler took over the studio briefly before it closed due to anti-Jewish laws. The Simons faced increasing isolation and moved to smaller apartments, considering emigration.

Tragically, in June 1942, the couple was arrested by the Gestapo and deported to Sobibór extermination camp. Their fate exemplifies the devastating impact of Nazi persecution on Jewish professionals and artists. Yva's legacy lives on through her groundbreaking work in fashion and commercial photography during the Weimar era.",Arts & culture,"Schlüterstraße 45, 10707 Berlin, Germany",52.5005083,13.3169217,1920,,1938,media/img/yva/yva.png,
20,,,,,,,,,,,
21,Jüdische Liberale Zeitung offices,An important Jewish newspaper that provided liberal perspectives on Jewish issues and German politics,Media ,Lindenstrasse 69 Berlin,52.5060084,13.3970577,1920,,1933,,
22,Haus Minkowski,Home of the famous mathematician Hermann Minkowski representing the private residences of notable Jewish figures,Mathematician,Ahornallee 31 Berlin-Westend,52.51092195,13.27483723,1905,,1939,,
23,Phoenix AG,A major rubber company co-founded by Jewish entrepreneurs that became a significant industrial player,Industry & manufacturing,Lindenerstrasse 20 Berlin-Weissensee,52.52485389,13.30013347,1856,,1933,,
24,Akademie für die Wissenschaft des Judentums,An important center for Jewish scholarly research promoting the scientific study of Judaism,Institution,Tucholskystrasse 9 Berlin-Mitte,52.52398934,13.39213861,1872,1933,1942,https://www.lbi.org/griffinger-static/lbi_art_django2_app/images/art/4605272_800px.jpg?v=202407292027,
25,Fasanenstrasse Synagogue,Once the largest synagogue in Berlin serving the liberal Jewish community,Synagogue,Fasanenstrasse 79-80 Berlin-Charlottenburg,52.50426471,13.32821478,1912,,1938,https://www.lbi.org/griffinger-static/lbi_art_django2_app/images/art/207072_800px.jpg,
26,Knoblauch House Synagogue,A private synagogue in the home of the wealthy Knoblauch family symbolizing the integration of Jews into high society,Synagogue,Burgstrasse 28 Berlin-Mitte,52.52173067,13.40079628,1760,1930,1930,https://www.lbi.org/griffinger-static/lbi_art_django2_app/images/art/250106_800px.jpg,
27,Artushof,A famous Jewish-owned restaurant and meeting place for intellectuals and artists,,Kaiserhofstrasse 20 Berlin-Mitte,52.4551622,13.4660925,1900,,1933,,
28,Kaufhaus Nathan Israel,One of the largest department stores in Berlin known for its wide range of goods,Retail & commerce,Spandauer Strasse 16-20 Berlin-Mitte,52.52023506,13.40484888,1815,1939,1945,https://www.lbi.org/1938projekt/wp-content/uploads/2017/12/01-20-gallery.jpg,
29,Kaufhaus Tietz,,A major Jewish-owned department store chain that revolutionized retail in Germany,Leipziger Strasse 46-49 Berlin-Mitte,52.5105622,13.39733187,1900,1934,1934,https://pbs.twimg.com/media/GKoaJt6XkAAir57.jpg:large,
30,Café Dobrin,A famous Jewish-owned café known as a meeting place for artists and intellectuals,Food & beverage,Unter den Linden 56-57 Berlin-Mitte,52.51700101,13.3842224,1908,1935,1935,https://www.tagesspiegel.de/images/291832/alternates/BASE_16_9_W1400/1635931552000/dobrin-konditorei.jpeg,
31,Ullstein Publishing House,A major Jewish-owned publishing house that was a cornerstone of German media and culture,Publishing,Kochstrasse 22-26 Berlin-Kreuzberg,52.50716325,13.38968883,1877,1934,1934,https://www.axelspringer.com/data/uploads/2022/09/13125710/ullstein_high_00031356-595x334.webp?cacheBreak=1663066636,
32,Hochschule für die Wissenschaft des Judentums,A higher education institution for Jewish studies that trained many prominent rabbis and scholars,Institution,Artilleriestrasse 14 Berlin-Mitte,52.46073503,13.4572292,1872,1942,1942,https://www.hagalil.com/wp-content/uploads/2022_The_Hochschule_Group-Portrait-in-Reading-Room-LBINY-Newsletter.jpg,
33,Hochschule für die Wissenschaft des Judentums,A higher education institution for Jewish studies that trained many prominent rabbis and scholars,Institution,Artilleriestrasse 14 Berlin-Mitte,52.46073503,13.4572292,1872,1942,1942,https://www.hagalil.com/wp-content/uploads/2022_The_Hochschule_Group-Portrait-in-Reading-Room-LBINY-Newsletter.jpg,
34,Home of Albert Einstein,Albert Einstein developed his General Theory of Relativity while living in Berlin where he was a prominent figure in the scientific community until forced to flee Nazi persecution.,Physicist,Haberlandstraße 5 Berlin-Schöneberg,52.49074457,13.33792164,1914,1933,1933,https://i0.wp.com/www.berlinunwrapped.com/wp-content/uploads/sites/109/einstein.jpg?fit=832%2C1170&ssl=1,
35,Home of Max Liebermann,Max Liebermann a leading German impressionist painter lived and worked in Berlin for over 50 years serving as President of the Prussian Academy of Arts until ousted by the Nazis.,Painter,Pariser Platz 7 Berlin-Mitte,52.51670261,13.37787906,1884,1935,1935,https://galerie-karsten-greve.com/fileadmin/_processed_/9/3/csm_csm_Alte_Nationalgalerie-Liebermann-Stevenstift_xl_65d39704c0_77aeaec2b0.jpg,
36,Home of Kurt Tucholsky,Kurt Tucholsky born in Berlin became one of the most important journalists and satirists of the Weimar Republic known for his sharp political commentary.,Writer,Lübecker Straße 43 Berlin-Moabit,52.52800787,13.34519006,1890,1924,1924,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/TucholskyParis1928.jpg/220px-TucholskyParis1928.jpg,
37,Home of Walter Benjamin,Walter Benjamin born and raised in Berlin became a critical theorist and philosopher writing many of his important works while living in the city.,"Philosopher, writer",Prinzregentenstraße 66 Berlin-Wilmersdorf,52.4835666,13.33348599,1892,1932,1932,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Walter_Benjamin.jpg/800px-Walter_Benjamin.jpg,
38,Home of Rosa Luxemburg,Rosa Luxemburg a revolutionary socialist was a key figure in Berlin's political landscape co-founding the Spartacus League before her assassination in the city.,Activist,Lindenstraße 2 Berlin-Kreuzberg,52.50245344,13.39492817,1898,1919,1919,https://www.porta-polonica.de/sites/default/files/styles/width_100_tiles/public/assets/images/Rosa_Luxemburg-3.2.jpg?itok=yCh3OOWt,
39,Home of Max Reinhardt,Max Reinhardt revolutionized German theater while in Berlin directing at and later owning the Deutsches Theater transforming it into a cultural landmark.,Theatre director,Kupfergraben 4 Berlin-Mitte,52.52062212,13.39472786,1894,1933,1933,https://upload.wikimedia.org/wikipedia/commons/0/0c/Bundesarchiv_Bild_183-H0927-506%2C_Berlin%2C_Max_Reinhardt.jpg,
40,Home of Else Lasker-Schüler,Else Lasker-Schüler a prominent expressionist poet and artist was deeply connected to Berlin's bohemian scene often writing about the city in her work.,"Playwright, poet",Motzstraße 7 Berlin-Schöneberg,52.49866472,13.35141069,1894,1933,1933,https://www.schirn.de/fileadmin/SCHIRN/Magazin/Abbildungen_2015/2016/Kontext/Sturm_Frauen/Else_Lasker_Schueler/Header_Else_Lasker_Schueler.jpg,
41,Max Brod,Max Brod though primarily associated with Prague briefly lived in Berlin before his final emigration connecting with the city's literary circles.,"Writer, composer",Würzburger Straße 13 Berlin-Wilmersdorf,52.49960261,13.33755995,1920,1939,1939,https://upload.wikimedia.org/wikipedia/commons/6/66/Max_Brod_v_roce_1914.jpg,
42,Home of Gershom Scholem,Gershom Scholem born in Berlin began his groundbreaking studies in Jewish mysticism here before emigrating to Jerusalem shaping modern Kabbalah scholarship.,,Neue Grünstraße 20 Berlin-Mitte,52.51062905,13.40604813,1897,1923,1923,,
43,Home of Stefan Heym,Stefan Heym born in Berlin began his writing career here before fleeing Nazi persecution later returning to become a significant voice in East German literature.,,Greifswalder Straße 198 Berlin-Prenzlauer Berg,52.53423332,13.43029965,1913,1933,1933,,
44,Home of Hermann Cohen,Hermann Cohen an influential Neo-Kantian philosopher taught at the Lehranstalt für die Wissenschaft des Judentums in Berlin shaping Jewish philosophical thought.,,Kantstraße 154-155 Berlin-Charlottenburg,52.50535788,13.32703243,1912,1918,1918,,
45,Home of Ernst Kantorowicz ,Ernst Kantorowicz a medieval historian taught at the University of Frankfurt but lived in Berlin during a crucial period of his academic career.,,Kaiserdamm 26 Berlin-Charlottenburg,52.51061859,13.28960115,1930,1938,1938,,
46,Home of Theodor Wolff,Theodor Wolff editor-in-chief of the influential Berliner Tageblatt was a central figure in Berlin's journalism and a vocal critic of the rising Nazi party.,,Budapester Straße 35 Berlin-Charlottenburg,52.50554333,13.34171568,1887,1933,1933,,
47,Home of Lesser Ury,Lesser Ury known for his impressionist paintings of Berlin street scenes captured the essence of the city's urban life in the early 20th century.,,Nollendorfstraße 17 Berlin-Schöneberg,52.4978207,13.35131245,1872,1931,1931,,
48,Home of Lion Feuchtwanger,Lion Feuchtwanger while in Berlin became a successful novelist and playwright using the city as a backdrop for some of his works before fleeing Nazi persecution.,,Regerstraße 8 Berlin-Wilmersdorf,52.47906095,13.26682245,1925,1933,1933,,
49,Home of Ernst Lubitsch,Ernst Lubitsch born in Berlin began his film career here as an actor and director before moving to Hollywood and becoming a renowned filmmaker.,,Schönhauser Allee 183 Berlin-Prenzlauer Berg,52.53005226,13.41013187,1892,1922,1922,,
50,Home of Kurt Weill,"Kurt Weill while living in Berlin collaborated with Bertolt Brecht on groundbreaking works like ""The Threepenny Opera"" revolutionizing musical theater.",,Winterfeldtstraße 21 Berlin-Schöneberg,52.49636954,13.35781849,1918,1933,1933,,
51,Home of Nelly Sachs,Nelly Sachs born and raised in Berlin began her literary career here before fleeing to Sweden later winning the Nobel Prize for her poetic works dealing with Jewish suffering.,,Maaßenstraße 12 Berlin-Schöneberg,52.49754728,13.35408963,1891,1940,1940,,
52,Home of Walter Rathenau,Walter Rathenau industrialist and politician served as Foreign Minister of Germany while living in Berlin assassinated by right-wing extremists in the city.,,Königsallee 65 Berlin-Grunewald,52.48245998,13.26252103,1907,1922,1922,,
53,Home of Regina Jonas,Regina Jonas the first woman to be ordained as a rabbi lived and worked in Berlin serving the city's Jewish community until her deportation to Theresienstadt.,,Krausnickstraße 6 Berlin-Mitte,52.52504894,13.39707463,1902,1942,1942,,
54,Home of Arnold Zweig,Arnold Zweig while in Berlin became a prominent pacifist and socialist writer using the city as a setting for some of his novels before exile.,,Akazienallee 42 Berlin-Zehlendorf,52.51960788,13.26694295,1929,1933,1933,,
55,Home of Gertrud Kolmar,Gertrud Kolmar a poet born in Berlin worked as a teacher in the city while writing her work largely unpublished until after her death in Auschwitz.,,Choriner Straße 74 Berlin-Mitte,52.53292109,13.4065766,1894,1943,1943,,
56,Home of Leo Baeck,Leo Baeck a rabbi and scholar led Berlin's Jewish community through the Nazi era teaching and writing until his deportation to Theresienstadt.,,Tiergartenstraße 4 Berlin-Tiergarten,52.51032207,13.36661971,1912,1943,1943,,
57,Ernst Toller,Ernst Toller a revolutionary playwright and political activist was a key figure in Berlin's expressionist theater scene and left-wing politics.,,Friedrichstraße 129 Berlin-Mitte,52.52519352,13.38714794,1930,1933,1933,,
58,Alfred Döblin,"Alfred Döblin while working as a doctor in Berlin wrote his famous novel ""Berlin Alexanderplatz"" capturing the essence of 1920s working-class Berlin.",,Kaiserdamm 28 Berlin-Charlottenburg,52.51061859,13.28960115,1888,1933,1933,,
